frames,objects,probability
00:00:04.700000,car,0.9656
00:00:04.750000,car,0.9654
00:00:04.800000,car,0.9687
00:00:04.850000,car,0.9521999999999999
00:00:04.900000,car,0.9401
00:00:04.950000,car,0.9428
00:00:05.000000,car,0.9706
00:00:05.050000,car,0.9706999999999999
00:00:05.100000,car,0.9799
00:00:05.150000,car,0.951
00:00:05.200000,car,0.9786
00:00:05.250000,car,0.9754999999999999
00:00:05.300000,car,0.9736
00:00:05.300000,car,0.8597
00:00:05.350000,car,0.9732999999999999
00:00:05.350000,car,0.8606999999999999
00:00:05.400000,car,0.966
00:00:05.450000,car,0.8573000000000001
00:00:05.450000,car,0.8540000000000001
00:00:05.450000,car,0.9351999999999999
00:00:05.500000,car,0.8344
00:00:05.500000,car,0.9056000000000001
00:00:05.550000,car,0.8843000000000001
00:00:05.550000,car,0.7162000000000001
00:00:05.600000,car,0.8845999999999999
00:00:05.600000,car,0.8438
00:00:05.650000,car,0.8854000000000001
00:00:05.650000,car,0.8423
00:00:05.700000,car,0.9144
00:00:05.700000,car,0.823
00:00:05.750000,car,0.8959999999999999
00:00:05.750000,car,0.823
00:00:05.800000,car,0.8218000000000001
00:00:05.800000,car,0.863
00:00:05.850000,car,0.8115000000000001
00:00:05.850000,car,0.8832
00:00:05.900000,car,0.8672
00:00:05.900000,car,0.7655
00:00:05.950000,car,0.8687
00:00:05.950000,car,0.7656999999999999
00:00:06.000000,car,0.7623000000000001
00:00:06.000000,car,0.8755
00:00:06.050000,car,0.9340999999999999
00:00:06.100000,car,0.8894
00:00:06.150000,car,0.9022
00:00:06.150000,car,0.9174
00:00:06.200000,car,0.9117000000000001
00:00:06.200000,car,0.9309000000000001
00:00:06.250000,car,0.9122
00:00:06.250000,car,0.9305
00:00:06.300000,car,0.9314
00:00:06.300000,car,0.9153
00:00:06.350000,car,0.9225
00:00:06.400000,car,0.9473
00:00:06.400000,car,0.912
00:00:06.400000,car,0.9089
00:00:06.450000,car,0.9259999999999999
00:00:06.450000,car,0.8782
00:00:06.450000,car,0.9626
00:00:06.500000,car,0.9425
00:00:06.500000,car,0.9512999999999999
00:00:06.500000,car,0.9052
00:00:06.550000,car,0.943
00:00:06.550000,car,0.9516
00:00:06.550000,car,0.9031999999999999
00:00:06.600000,car,0.9214
00:00:06.650000,car,0.9346
00:00:06.650000,car,0.9648
00:00:06.650000,car,0.6043999999999999
00:00:06.700000,car,0.9358
00:00:06.700000,car,0.9641
00:00:06.700000,car,0.6143
00:00:06.750000,,
00:00:06.800000,car,0.7179000000000001
00:00:06.850000,car,0.7134999999999999
00:00:06.900000,car,0.9273
00:00:06.900000,car,0.6058
00:00:06.950000,car,0.9389
00:00:07.000000,car,0.6579999999999999
00:00:07.050000,car,0.621
00:00:07.100000,car,0.9515
00:00:07.150000,car,0.9517
00:00:07.200000,,
00:00:07.250000,,
00:00:07.300000,,
00:00:07.350000,car,0.8623000000000001
00:00:07.400000,car,0.8839
00:00:07.450000,car,0.8854000000000001
00:00:07.500000,car,0.7909
00:00:07.550000,,
00:00:07.600000,,
00:00:07.650000,car,0.8484999999999999
00:00:07.700000,car,0.9018
00:00:07.750000,car,0.9026000000000001
00:00:07.800000,,
00:00:07.850000,,
00:00:07.900000,car,0.9023
00:00:07.950000,,
00:00:08.000000,car,0.8558
00:00:08.050000,car,0.8565999999999999
00:00:08.100000,,
